"population"	"id_pl"	"bud_h"	"shoot_h"	"veg_h_min"	"veg_h_max"	"veg_h_mean"	"diff_veg_h_max_shoot_h"	"diff_veg_h_mean_shoot_h"	"a"	"b"	"c"	"d"	"e"	"f"	"n_fl"	"phen_index"	"most_adv"	"phen_index_p"	"most_adv_p"	"fr_int_h_max"	"fr_pred_h_max"	"n_intact_fruits"	"n_predated_fr"	"n_fruits_total"	"n_predated"	"fruit_set"	"n_fl_corrected"	"n_eggs_max"	"n_redants"	"n_blackants"	"dist_closest_redants"	"dist_closest_redants1"	"days_datalog"	"avg_d_mean"	"avg_d_sd"	"avg_d_min"	"avg_d_max"	"avg_d_range"	"avg_day_mean"	"avg_day_sd"	"avg_day_min"	"avg_day_max"	"avg_day_range"	"avg_d_mean_ja"	"avg_d_sd_ja"	"avg_d_min_ja"	"avg_d_max_ja"	"avg_d_range_ja"	"avg_day_mean_ja"	"avg_day_sd_ja"	"avg_day_min_ja"	"avg_day_max_ja"	"avg_day_range_ja"	"higher_veg_max"	"higher_veg_mean"	"attack"	"redants_pres"	"prop_pred"	"id"	"z.bud_h"	"z.shoot_h"	"z.veg_h_min"	"z.veg_h_max"	"z.veg_h_mean"	"z.diff_veg_h_max_shoot_h"	"z.diff_veg_h_mean_shoot_h"	"z.phen_index"	"z.most_adv"	"z.n_fl_corrected"	"z.n_eggs_max"	"z.n_redants"	"z.dist_closest_redants"	"z.dist_closest_redants1"	"z.avg_d_mean"	"z.avg_d_sd"	"z.avg_d_min"	"z.avg_d_max"	"z.avg_d_range"	"z.avg_day_mean"	"z.avg_day_sd"	"z.avg_day_min"	"z.avg_day_max"	"z.avg_day_range"	"z.avg_d_mean_ja"	"z.avg_d_sd_ja"	"z.avg_d_min_ja"	"z.avg_d_max_ja"	"z.avg_d_range_ja"	"z.avg_day_mean_ja"	"z.avg_day_sd_ja"	"z.avg_day_min_ja"	"z.avg_day_max_ja"	"z.avg_day_range_ja"	"z.n_predated"
"1"	"Högsjön"	"H_15_002"	13,7	27	5	35	20	8	-7	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564	NA	NA	0	0	0	1	0	3	3	0	7	130	130	73	15,2953767	2,56856741	12,2054795	19,6712329	7,46575342	16,5945205	2,22816854	14,1369863	19,6712329	5,53424658	15,5927419	2,43663264	12,483871	19,6129032	7,12903226	16,8677419	1,96585145	14,6612903	19,6129032	4,9516129	"0"	"1"	"1"	"0"	0,333333333333333	1	-0,303983243896222	0,64443160112784	-1,23866823905074	-0,00249459238141277	-0,636410291593685	-0,269586559948466	-0,987262965401316	-0,617450086939997	-0,322494815687657	-0,328090482408496	-0,227417495316191	-0,609019132978794	0,373917000782178	0,743713984855599	0,100852642926988	0,899610565200429	-0,464143736296426	0,748566277820477	1,09505150049369	0,27020902968641	1,05814761076454	0,00553973486860184	0,748671608410332	1,04463676463183	-0,139003008345998	0,517976759255051	-0,625848985262979	0,409110953009752	0,771065963064389	-0,00257140285913945	0,541819918087436	-0,0575059132092866	0,409144614192205	0,586766578836001	-0,14379093135546
"3"	"Högsjön"	"H_15_006"	11,7	15	25	25	25	10	10	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	NA	NA	0	0	0	0	0	1	0	0	6	68	68	73	16,6523973	2,63843364	13,6506849	21,0068493	7,35616438	18,0753425	2,21303469	15,5547945	21,0068493	5,45205479	17,6169355	2,81073963	14,4193548	22,1129032	7,69354839	19,1774194	2,2657898	16,5967742	22,1129032	5,51612903	"0"	"0"	"0"	"0"	0	3	-0,479358192297889	-1,13648601056238	0,164908710958138	-0,583926508972239	-0,27671561083844	-0,14663220205822	0,285293847266263	0,298725837195712	-0,322494815687657	-0,9736191588356	-0,674868801035709	-0,609019132978794	-0,0434570204117611	0,247270431592007	1,17983802167286	0,998930529140445	0,746407074278244	1,36382291366246	1,03998087691355	1,26724126316226	1,03322865454715	1,2185769607447	1,36387440132934	0,991600557335115	1,67582911873886	1,05380990315285	1,16395429932379	1,64639306603683	1,06059154382847	1,70630270936077	1,04744249105189	1,85668304631824	1,64644885312119	0,961119556673729	-0,717062670838412
"4"	"Högsjön"	"H_15_007"	5,4	31	50	70	60	39	29	3	0	0	0	0	0	3	1	1	1,72985782	1,72985782	38,6	51,5	1	1	2	0	0,666666667	3	0	0	9	150	150	73	15,442637	1,26721103	13,9520548	17,3150685	3,3630137	16,0684932	1,13056024	14,6027397	17,3150685	2,71232877	15,6875	1,25995376	14,1451613	17,4516129	3,30645161	16,3354839	1,06633092	14,8709677	17,4516129	2,58064516	"0"	"0"	"0"	"0"	0	4	-1,03178927976314	1,23807080502458	1,91937989846923	2,03251711568648	2,24114715444827	1,63620598735035	1,70756322613003	-1,07553804832072	-1,16487351528559	-0,328090482408496	-0,674868801035709	-0,609019132978794	0,508553781812481	0,903857066553533	0,217941293290681	-0,950362858794373	0,998844254991662	-0,336809569791648	-0,966654987376099	-0,0839632974320907	-0,749142217768694	0,404025377904353	-0,336609254759915	-0,776272817036365	-0,05404569784886	-1,16737946364937	0,910398869455379	-0,660539378689816	-1,18943582580177	-0,396376129805624	-0,974551312243574	0,149864535153749	-0,660524845706232	-0,985515924103614	-0,717062670838412
"5"	"Högsjön"	"H_15_008"	12,1	12,7	10	25	17,5	12,3	4,8	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	NA	NA	0	0	0	1	0	1	6	0	8	60	60	73	17,1883562	2,25477098	14,6232877	20,6917808	6,06849315	18,390411	1,92239832	16,3150685	20,6917808	4,37671233	17,8064516	2,29191587	15,1290323	21,2419355	6,11290323	19,0806452	1,82989866	17,016129	21,2419355	4,22580645	"0"	"0"	"1"	"0"	1	5	-0,444283202617555	-1,47782855280301	-0,887774001548518	-0,583926508972239	-0,816257631971307	-0,00523469048443618	-0,10395882484382	0,298725837195712	-0,322494815687657	-0,9736191588356	0,220033810403327	-0,609019132978794	-0,0973117328238823	0,183213198912833	1,60598617057253	0,453525953047957	1,56109065344782	1,21868544352524	0,392901044821672	1,47937577376035	0,554675280540392	1,86904623004765	1,21874963260023	0,29771025973334	1,84574365007609	0,310699044813428	1,82021560231032	1,21533996354309	0,249919919740532	1,63470183646367	0,312636822689677	2,27142394304431	1,2153880422491	0,105455609225037	-0,14379093135546
"6"	"Högsjön"	"H_15_009"	6,1	9	10	25	17,5	16	8,5	1	0	0	0	0	0	1	1	1	1,72985782	1,72985782	NA	NA	0	0	0	0	0	1	2	0	6	60	60	73	16,7928082	1,92760741	14,5958904	19,8013699	5,20547945	17,8109589	1,65184212	16,0068493	19,8013699	3,79452055	17,3951613	2,05523074	15,0322581	20,516129	5,48387097	18,516129	1,68148708	16,6129032	20,516129	3,90322581	"0"	"0"	"1"	"0"	0	6	-0,970408047822555	-2,02694481640749	-0,887774001548518	-0,583926508972239	-0,816257631971307	0,22223087161252	0,173009422619124	-1,07553804832072	-1,16487351528559	-0,9736191588356	-0,37656793055603	-0,609019132978794	-0,0973117328238823	0,183213198912833	1,29148062173106	-0,0115610278137059	1,53814178837815	0,808514368319043	-0,0407801208971504	1,08923271709637	0,109185329064437	1,6053424629727	0,808614452674674	-0,0779628328045552	1,47699292880202	-0,0283048784272456	1,73072542883367	0,856129003555578	-0,0726942992647682	1,21703005323473	0,0624512597654272	1,87263458883855	0,856170658612213	-0,108460374321438	-0,717062670838412
"7"	"Högsjön"	"H_15_010"	9,3	20	10	25	17,5	5	-2,5	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	47,3	NA	1	0	1	1	0,5	2	2	0	15	80	80	73	16,7131849	1,02656045	15,4520548	18,1232877	2,67123288	17,2260274	0,87724816	15,9863014	18,1232877	2,1369863	17,1854839	1,09773911	15,8548387	18,6774194	2,82258065	17,7516129	0,91548466	16,4516129	18,6774194	2,22580645	"0"	"1"	"1"	"0"	0,5	7	-0,689808130379889	-0,394437005691457	-0,887774001548518	-0,583926508972239	-0,816257631971307	-0,454018096783836	-0,650409691459898	0,298725837195712	-0,322494815687657	-0,650854820622048	-0,37656793055603	-0,609019132978794	0,0373250482064206	0,343356280610767	1,22817106216543	-1,29246528693088	2,25529279570567	0,0354995947371063	-1,31428830123835	0,695400399724407	-1,16623850396533	1,58776225176107	0,0356673278956783	-1,14752622939696	1,28900237204716	-1,39971937768247	2,49139181091207	-0,0538719960968872	-1,43760060491778	0,651383216537692	-1,22884114914928	1,71311886693619	-0,0538466142835516	-1,22082350998357	-0,14379093135546
"8"	"Högsjön"	"H_15_012"	6,3	25	40	40	40	15	15	1	0	0	0	0	0	1	1	1	1,72985782	1,72985782	NA	NA	0	0	0	0	0	1	0	0	30	55	55	73	15,6438356	1,74697683	13,6712329	18,5136986	4,84246575	16,5219178	1,57443602	14,7808219	18,5136986	3,73287671	16,3387097	1,99638717	14,1612903	19,7096774	5,5483871	17,3451613	1,80320384	15,3709677	19,7096774	4,33870968	"0"	"0"	"0"	"0"	0	8	-0,952870552982388	0,347611999179469	1,21759142346479	0,288221365914	0,802368431427292	0,160753692667396	0,659575262756727	-1,07553804832072	-1,16487351528559	-0,9736191588356	-0,674868801035709	-0,609019132978794	-0,130970928081458	0,14317742848835	0,377917013352807	-0,268340629232932	0,763618744021305	0,215343820167435	-0,223201564018972	0,221325887663008	-0,0182692985986611	0,556387550634001	0,215495814627366	-0,117739986663909	0,529809663135036	-0,112586476884602	0,925313867543764	0,457005747674753	-0,0396056610235522	0,350659579964897	0,267635896421918	0,644363342280877	0,457040265343789	0,180326207445141	-0,717062670838412
"9"	"Högsjön"	"H_15_013"	15,3	40	60	60	60	20	20	0	2	0	0	0	0	2	2	2	3,45971564	3,45971564	NA	NA	0	0	0	0	0	2	0	16	4	93	0	73	15,432363	1,34889762	13,7534247	17,4383562	3,68493151	16,169863	1,06219294	15	17,4383562	2,43835616	15,7701613	1,47335811	13,9354839	17,9677419	4,03225806	16,5967742	1,11371355	15,3870968	17,9677419	2,58064516	"0"	"0"	"0"	"1"	0	9	-0,163683285174889	2,57375901379225	2,62116837347367	1,45108519909565	2,24114715444827	0,468139587393012	1,03385667824719	0,298725837195712	-0,322494815687657	-0,650854820622048	-0,674868801035709	1,10856362250765	0,124838955876118	-0,297216046180966	0,2097722973438	-0,834239387223304	0,832465255467077	-0,280016634677421	-0,804885028096832	-0,0157113683676923	-0,861713820857228	0,743910231344125	-0,279821289762958	-0,953060159635703	0,0200659794662937	-0,861720583065593	0,716503524413683	-0,405100506803997	-0,817188651999016	-0,203053802578481	-0,894675806845805	0,660314983700946	-0,405081405892561	-0,985515924103614	-0,717062670838412
"10"	"Högsjön"	"H_15_014"	26,8	46	30	60	45	14	-1	0	7	1	0	0	0	8	2,125	3	3,675947867	5,18957346	46,7	NA	1	0	1	3	0,125	8	17	0	7	40	40	73	15,7628425	1,17721529	14,260274	17,5342466	3,2739726	16,3863014	0,94967559	15,1917808	17,5342466	2,34246575	16,0645161	1,15048163	14,5806452	17,7580645	3,17741935	16,6806452	0,90488049	15,5	17,7580645	2,25806452	"0"	"1"	"1"	"0"	0,375	10	0,844722668134694	3,46421781963736	0,515802948460357	1,45108519909565	1,16206311218254	0,0992765137222732	-0,538125266812759	0,470508822885266	0,519883883910274	1,28573120865927	1,86068859804156	-0,609019132978794	-0,231948513854185	0,0230701172149003	0,472541004373925	-1,07829839577061	1,25701863103169	-0,235844367165924	-1,01139987154756	0,130015843519989	-1,04698160918255	0,907992544881526	-0,235652887896883	-1,01493572728701	0,283975789180956	-1,32417630828221	1,31310465010033	-0,508872545414406	-1,2556131022842	-0,140999693004309	-1,24671718173915	0,771975979142617	-0,508855300223605	-1,19943190765009	1,00275254761044
"11"	"Högsjön"	"H_15_015"	13	30	10	45	27,5	15	-2,5	1	1	0	0	0	0	2	1,5	2	2,59478673	3,45971564	49,4	NA	1	0	1	0	0,5	2	0	15	2	60	0	73	15,5196918	1,44419885	13,869863	17,9589041	4,0890411	16,2561644	1,28091606	14,7945205	17,9589041	3,16438356	16,0383065	1,5142299	14,3064516	18,516129	4,20967742	16,8354839	1,29378062	15,3387097	18,516129	3,17741935	"0"	"1"	"0"	"1"	0	11	-0,365364475836805	1,0896610040504	-0,887774001548518	0,578937324209414	-0,0968682704608183	0,160753692667396	-0,650409691459898	-0,388406105562504	-0,322494815687657	-0,650854820622048	-0,674868801035709	1,00121470028974	-0,0973117328238823	-0,297216046180966	0,279208603869598	-0,698761707562628	0,92999774354589	-0,0402243187485271	-0,601812101132456	0,0423950600849458	-0,501570707834983	0,568107691441755	-0,0400499587669287	-0,484573712394474	0,260477036829383	-0,803179950792375	1,05954912775875	-0,133696686866081	-0,726194895553488	-0,0264383111664627	-0,591126843401913	0,612460257240264	-0,133672732530973	-0,589771350563798	-0,717062670838412
