id_pl,buds_e,buds_ne
H_15_002,0,3
H_15_004,0,2
H_15_006,0,1
H_15_007,0,3
H_15_008,0,1
H_15_009,0,1
H_15_010,0,1
H_15_012,0,1
H_15_013,0,2
H_15_014,4,4
H_15_015,0,2
H_15_016,0,3
H_15_017,1,7
H_15_018,0,3
H_15_020,0,1
H_15_022,0,1
H_15_023,0,3
H_15_025,0,1
H_15_026,0,2
H_15_027,0,1
H_15_030,0,2
H_15_032,0,2
H_15_033,0,2
H_15_035,1,1
H_15_037,0,2
H_15_038,0,1
H_15_039,0,3
H_15_041,0,3
H_15_043,0,3
H_15_046,0,1
H_15_047,0,1
H_15_048,0,1
H_15_049,0,3
H_15_053,0,1
H_15_056,0,2
H_15_057,0,2
H_15_058,0,2
H_15_059,0,1
H_15_060,0,1
H_15_063,0,2
H_15_065,0,2
H_15_067,0,3
H_15_068,0,3
H_15_069,0,3
H_15_070,1,1
H_15_071,0,2
H_15_073,0,1
H_15_074,0,2
H_15_075,0,3
H_15_076,1,2
H_15_078,0,1
H_15_079,0,1
H_15_080,0,3
H_15_083,0,1
H_15_086,0,2
H_15_087,0,3
H_15_092,0,2
H_15_095,0,3
H_15_096,1,3
H_15_097,2,4
H_15_098,1,2
H_15_099,0,2
H_15_100,0,3
H_15_101,0,5
H_15_102,1,3
H_15_103,1,2
H_15_104,1,4
H_15_105,2,0
H_15_106,1,2
H_15_107,4,1
H_15_108,2,1
H_15_109,2,1
H_15_110,2,2
H_15_111,0,2
H_15_113,0,3
H_15_115,1,2
H_15_117,2,2
H_15_118,2,0
H_15_119,2,0
H_15_120,1,2
H_15_121,3,0
H_15_122,0,1
H_15_123,0,1
H_15_124,1,1
H_15_125,0,1
H_15_126,1,3
H_15_128,2,1
H_15_129,2,2
H_15_132,0,2
H_15_133,1,2
H_15_134,0,2
H_15_135,1,1
H_15_137,1,0
H_15_138,0,1
H_15_139,0,4
H_15_140,1,2
H_15_141,0,4
H_15_142,1,2
H_15_143,1,0
H_15_144,0,2
H_15_145,0,1
H_15_147,0,1
H_15_148,0,2
H_15_149,0,2
H_15_152,0,1
H_15_154,0,2
H_15_155,0,1
H_15_157,0,1
R_15_001,0,1
R_15_002,0,1
R_15_003,0,1
R_15_004,0,2
R_15_005,2,0
R_15_006,2,0
R_15_007,0,1
R_15_008,1,0
R_15_009,1,0
R_15_010,2,3
R_15_011,0,1
R_15_012,0,1
R_15_013,0,2
R_15_014,2,0
R_15_015,0,1
R_15_016,0,1
R_15_017,2,2
R_15_018,1,2
R_15_019,4,0
R_15_020,4,3
R_15_021,0,1
R_15_022,1,4
R_15_023,2,3
R_15_024,4,6
R_15_025,0,1
R_15_026,0,2
R_15_027,0,1
R_15_028,0,1
R_15_029,0,1
R_15_030,2,1
R_15_031,1,1
R_15_032,1,0
R_15_033,1,1
R_15_034,2,2
R_15_035,1,2
R_15_036,1,1
R_15_037,0,1
R_15_038,0,1
R_15_039,1,1
R_15_040,0,1
R_15_041,1,2
R_15_042,0,1
R_15_043,2,1
R_15_044,1,0
R_15_045,0,1
R_15_046,1,0
R_15_047,1,2
R_15_048,1,0
R_15_049,0,3
R_15_050,2,0
R_15_051,0,4
R_15_052,0,1
R_15_053,0,3
R_15_054,1,2
R_15_055,1,1
R_15_056,1,1
R_15_057,1,1
R_15_058,0,1
R_15_059,0,1
R_15_060,1,2
R_15_061,1,3
R_15_062,2,3
R_15_063,2,1
R_15_064,3,2
R_15_065,0,1
R_15_066,0,5
R_15_067,1,2
R_15_068,1,2
R_15_069,0,1
R_15_070,1,0
R_15_071,1,0
R_15_072,1,0
R_15_073,0,1
R_15_074,1,2
R_15_075,2,0
R_15_076,1,4
R_15_077,3,2
R_15_078,2,1
R_15_079,2,1
R_15_080,0,5
R_15_081,0,4
R_15_082,4,0
R_15_083,1,4
R_15_086,1,6
R_15_088,3,2
R_15_089,0,2
R_15_090,0,2
R_15_091,0,3
R_15_092,0,4
R_15_093,6,4
R_15_094,0,4
R_15_095,1,5
R_15_096,1,4
R_15_097,0,2
R_15_098,0,2
R_15_099,1,4
R_15_100,0,3
R_15_101,1,0
T_15_001,0,9
T_15_002,1,15
T_15_003,0,6
T_15_004,0,8
T_15_005,0,9
T_15_006,1,8
T_15_007,1,7
T_15_008,0,4
T_15_009,0,3
T_15_010,1,7
T_15_011,1,4
T_15_012,2,6
T_15_013,4,2
T_15_014,0,4
T_15_015,1,3
T_15_016,3,4
T_15_017,4,3
T_15_018,3,9
T_15_019,6,5
T_15_020,0,4
T_15_021,4,3
T_15_022,8,1
T_15_023,0,4
T_15_024,3,7
T_15_025,1,4
T_15_026,1,5
T_15_027,1,4
T_15_028,1,4
T_15_029,0,5
T_15_030,1,4
T_15_031,0,3
T_15_032,2,6
T_15_033,6,6
T_15_034,0,6
T_15_035,2,9
T_15_036,2,3
T_15_037,3,2
T_15_038,0,4
T_15_039,0,8
T_15_040,4,2
T_15_041,1,4
T_15_042,4,3
T_15_043,1,4
T_15_044,0,6
T_15_045,1,3
T_15_046,1,3
T_15_047,0,1
T_15_048,0,2
T_15_049,1,5
T_15_050,2,5
T_15_051,2,7
T_15_052,1,8
T_15_053,0,5
T_15_054,2,1
T_15_055,0,2
T_15_056,0,17
T_15_057,2,4
T_15_058,1,3
T_15_059,0,4
T_15_060,1,4
T_15_061,1,3
T_15_062,0,3
T_15_063,3,4
T_15_064,1,2
T_15_065,4,7
T_15_066,2,6
T_15_067,0,2
T_15_068,1,1
T_15_069,4,1
T_15_070,1,3
T_15_071,0,5
T_15_072,1,4
T_15_073,1,2
T_15_074,4,2
T_15_075,0,3
T_15_076,3,11
T_15_077,8,6
T_15_078,1,2
T_15_079,5,3
T_15_080,11,2
T_15_081,5,2
T_15_082,3,2
T_15_083,4,6
T_15_084,2,3
T_15_085,4,2
T_15_086,2,7
T_15_087,0,3
T_15_088,3,2
T_15_089,3,1
T_15_090,2,8
T_15_091,1,1
T_15_092,0,1
T_15_093,2,6
T_15_094,1,7
T_15_095,4,3
T_15_096,2,7
T_15_097,6,5
T_15_098,0,3
T_15_099,3,6
T_15_100,3,10
T_15_101,10,7
T_15_102,3,4
T_15_103,5,2
