"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"redants_pres"	"ants_t"	"t_shoot_h"	"t_veg_h_mean"	"t_n_intact_fruits"	"t_n_eggs_max"	"t_n_redants"	"t_meanT"	"id"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"1"	"H_15_002"	"Högsjön"	27	20	0	3	0	"H"	17.8063829787234	21.2978723404255	15.0957446808511	2.47209034644602	6.20212765957447	"0"	0	0.830491499421837	-1.25423629086867	-0.654636253008874	0.00576038618171813	-0.639707341928494	0.815437296189659	1	2	1	0	0	0	0	3	1.333333333	2	0	0	0	0	2	1	3	5.333333333	6	3	211	241
"2"	"H_15_006"	"Högsjön"	15	25	0	0	0	"H"	19.436170212766	22.5957446808511	16.7446808510638	2.3716030044015	5.85106382978723	"0"	0	-1.0359831832334	-0.831414332196574	-0.654636253008874	-0.59331977671697	-0.639707341928494	2.01415660464207	2	0	1	0	0	0	0	1	2	2	0	1	0	0	0	0	1	2	2	1	211	241
"3"	"H_15_007"	"Högsjön"	31	60	1	0	0	"H"	16.8872340425532	18.1170212765957	15.2872340425532	1.17054252991021	2.82978723404255	"0"	0	1.45264972697358	2.1283393785081	1.29056861307464	-0.59331977671697	-0.639707341928494	0.139397164007622	3	3	0	0	0	0	0	3	1	1	1	0	1	1	0	0	3	2.666666667	4	3	211	241
"4"	"H_15_008"	"Högsjön"	12.7	17.5	0	6	0	"H"	19.663829787234	22.0531914893617	17.5106382978723	2.00140105279221	4.54255319148936	"0"	0	-1.39372416407565	-1.46564727020472	-0.654636253008874	0.604840549080406	-0.639707341928494	2.18160172997419	4	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"5"	"H_15_009"	"Högsjön"	9	17.5	0	2	0	"H"	19.0276595744681	21.1489361702128	17.1063829787234	1.7634729460507	4.04255319148936	"0"	0	-1.96922052456102	-1.46564727020472	-0.654636253008874	-0.193933001451178	-0.639707341928494	1.71369432367227	5	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	2	2	1	211	241
"6"	"H_15_010"	"Högsjön"	20	17.5	1	2	0	"H"	18.263829787234	19.2340425531915	16.9042553191489	0.955878403796163	2.32978723404255	"0"	0	-0.258285398793718	-1.46564727020472	1.29056861307464	-0.193933001451178	-0.639707341928494	1.15189245456729	6	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"7"	"H_15_012"	"Högsjön"	25	40	0	0	0	"H"	17.6148936170213	19.936170212766	15.6489361702128	1.79370974713532	4.28723404255319	"0"	0	0.519412385645964	0.437051543819715	-0.654636253008874	-0.59331977671697	-0.639707341928494	0.674595601985067	7	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	5	5	1	211	241
"8"	"H_15_013"	"Högsjön"	40	60	0	0	16	"H"	17.0553191489362	18.5106382978723	15.7872340425532	1.18841616175431	2.72340425531915	"1"	2.83321334405622	2.85250573896501	2.1283393785081	-0.654636253008874	-0.59331977671697	1.46399427263478	0.263024873364984	8	0	2	0	0	0	0	2	2	2	0	0	0	0	1	1	2	5.5	6	2	211	241
"9"	"H_15_014"	"Högsjön"	46	45	1	17	0	"H"	17.1957446808511	18.436170212766	15.9148936170213	1.01390489496372	2.52127659574468	"0"	0	3.78574308029263	0.859873502491812	1.29056861307464	2.80146781304226	-0.639707341928494	0.366308782448351	9	0	7	1	0	0	0	8	2.125	3	0	0	0	0	2	6	8	5.75	6	8	211	241
"10"	"H_15_015"	"Högsjön"	30	27.5	1	0	15	"H"	17.1404255319149	18.9893617021277	15.5851063829787	1.37545162043335	3.40425531914894	"1"	2.77258872223978	1.29711017008565	-0.620003352860526	1.29056861307464	-0.59331977671697	1.33251292172457	0.325621181900357	10	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"11"	"H_15_016"	"Högsjön"	22	27.5	1	0	1	"H"	17.7212765957447	19.2446808510638	16.1702127659574	1.29005994475856	3.07446808510638	"1"	0.693147180559945	0.0527937149821552	-0.620003352860526	1.29056861307464	-0.59331977671697	-0.50822599101829	0.752840987654283	11	2	1	0	0	0	0	3	1.333333333	2	1	0	0	0	1	1	3	4	6	3	211	241
"12"	"H_15_017"	"Högsjön"	33	27.5	0	7	1	"H"	18.0829787234043	19.7446808510638	16.5744680851064	1.38978380087633	3.17021276595745	"1"	0.693147180559945	1.76372884074946	-0.620003352860526	-0.654636253008874	0.804533936713302	-0.50822599101829	1.01887529892962	12	3	5	0	0	0	0	8	1.625	2	0	0	0	0	4	1	5	5.2	6	8	211	241
