"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"1"	"H_15_002"	"Högsjön"	27	20	0	3	0	"H"	17.8063829787234	21.2978723404255	15.0957446808511	2.47209034644602	6.20212765957447	2	1	0	0	0	0	3	1.333333333	2	0	0	0	0	2	1	3	5.333333333	6	3	211	241
"2"	"H_15_006"	"Högsjön"	15	25	0	0	0	"H"	19.436170212766	22.5957446808511	16.7446808510638	2.3716030044015	5.85106382978723	0	1	0	0	0	0	1	2	2	0	1	0	0	0	0	1	2	2	1	211	241
"3"	"H_15_007"	"Högsjön"	31	60	1	0	0	"H"	16.8872340425532	18.1170212765957	15.2872340425532	1.17054252991021	2.82978723404255	3	0	0	0	0	0	3	1	1	1	0	1	1	0	0	3	2.666666667	4	3	211	241
"4"	"H_15_008"	"Högsjön"	12.7	17.5	0	6	0	"H"	19.663829787234	22.0531914893617	17.5106382978723	2.00140105279221	4.54255319148936	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"5"	"H_15_009"	"Högsjön"	9	17.5	0	2	0	"H"	19.0276595744681	21.1489361702128	17.1063829787234	1.7634729460507	4.04255319148936	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	2	2	1	211	241
"6"	"H_15_010"	"Högsjön"	20	17.5	1	2	0	"H"	18.263829787234	19.2340425531915	16.9042553191489	0.955878403796163	2.32978723404255	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"7"	"H_15_012"	"Högsjön"	25	40	0	0	0	"H"	17.6148936170213	19.936170212766	15.6489361702128	1.79370974713532	4.28723404255319	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	5	5	1	211	241
"8"	"H_15_013"	"Högsjön"	40	60	0	0	16	"H"	17.0553191489362	18.5106382978723	15.7872340425532	1.18841616175431	2.72340425531915	0	2	0	0	0	0	2	2	2	0	0	0	0	1	1	2	5.5	6	2	211	241
"9"	"H_15_014"	"Högsjön"	46	45	1	17	0	"H"	17.1957446808511	18.436170212766	15.9148936170213	1.01390489496372	2.52127659574468	0	7	1	0	0	0	8	2.125	3	0	0	0	0	2	6	8	5.75	6	8	211	241
"10"	"H_15_015"	"Högsjön"	30	27.5	1	0	15	"H"	17.1404255319149	18.9893617021277	15.5851063829787	1.37545162043335	3.40425531914894	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"11"	"H_15_016"	"Högsjön"	22	27.5	1	0	1	"H"	17.7212765957447	19.2446808510638	16.1702127659574	1.29005994475856	3.07446808510638	2	1	0	0	0	0	3	1.333333333	2	1	0	0	0	1	1	3	4	6	3	211	241
"12"	"H_15_017"	"Högsjön"	33	27.5	0	7	1	"H"	18.0829787234043	19.7446808510638	16.5744680851064	1.38978380087633	3.17021276595745	3	5	0	0	0	0	8	1.625	2	0	0	0	0	4	1	5	5.2	6	8	211	241
"13"	"H_15_018"	"Högsjön"	18	27.5	0	1	4	"H"	17.8468085106383	19.7446808510638	16.2446808510638	1.50567541368856	3.5	2	1	0	0	0	0	3	1.333333333	2	2	0	0	0	1	0	3	2.333333333	5	5	211	241
"14"	"H_15_020"	"Högsjön"	12	25	1	0	0	"H"	19.331914893617	22.0106382978723	16.2978723404255	2.30568430598309	5.71276595744681	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"15"	"H_15_022"	"Högsjön"	22	30	0	0	2	"H"	17.2404255319149	18.5531914893617	15.968085106383	1.10274538691443	2.58510638297872	1	1	0	0	0	0	2	1.5	2	0	0	0	0	1	1	2	5.5	6	2	211	241
"16"	"H_15_023"	"Högsjön"	26.5	40	0	0	3	"H"	16.9510638297872	18.0531914893617	15.8617021276596	0.933277581247992	2.19148936170213	3	0	0	0	0	0	3	1	1	2	0	0	0	1	0	3	2.333333333	5	3	211	241
"17"	"H_15_025"	"Högsjön"	14.5	25	0	0	0	"H"	18.2127659574468	20.1382978723404	16.6595744680851	1.51789318160215	3.47872340425532	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"18"	"H_15_026"	"Högsjön"	27	50	0	0	5	"H"	16.9297872340426	18.1170212765957	15.7127659574468	0.928525610728931	2.40425531914894	1	1	0	0	0	0	2	1.5	2	0	0	1	0	1	0	2	4	5	2	211	241
