population	id_pl	bud_h	shoot_h	veg_h_min	veg_h_max	veg_h_mean	diff_veg_h_max_shoot_h	diff_veg_h_mean_shoot_h	a	b	c	d	e	f	n_fl	phen_index	most_adv	phen_index_p	most_adv_p	fr_int_h_max	fr_pred_h_max	n_intact_fruits	n_predated_fr	n_fruits_total	n_predated	fruit_set	n_fl_corrected	n_eggs_max	n_redants	n_blackants	dist_closest_redants	dist_closest_redants1	days_datalog	avg_d_mean	avg_d_sd	avg_d_min	avg_d_max	avg_d_range	avg_day_mean	avg_day_sd	avg_day_min	avg_day_max	avg_day_range	avg_d_mean_ja	avg_d_sd_ja	avg_d_min_ja	avg_d_max_ja	avg_d_range_ja	avg_day_mean_ja	avg_day_sd_ja	avg_day_min_ja	avg_day_max_ja	avg_day_range_ja
Högsjön	H_15_002	13,7	27	5	35	20	8	-7	2	1	0	0	0	0	3	1,333333333	2	2,306477093	3,45971564			0	0	0	1	0	3	3	0	7	130	130	73	15,2953767	2,56856741	12,2054795	19,6712329	7,46575342	16,5945205	2,22816854	14,1369863	19,6712329	5,53424658	15,5927419	2,43663264	12,483871	19,6129032	7,12903226	16,8677419	1,96585145	14,6612903	19,6129032	4,9516129
Högsjön	H_15_004	18,2	25	20	20	20	-5	-5	0	1	1	0	0	0	2	2,5	3	4,32464455	5,18957346	40,3		1	0	1	0	0,5	2	0	12	9	19	0																					
Högsjön	H_15_006	11,7	15	25	25	25	10	10	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564			0	0	0	0	0	1	0	0	6	68	68	73	16,6523973	2,63843364	13,6506849	21,0068493	7,35616438	18,0753425	2,21303469	15,5547945	21,0068493	5,45205479	17,6169355	2,81073963	14,4193548	22,1129032	7,69354839	19,1774194	2,2657898	16,5967742	22,1129032	5,51612903
Högsjön	H_15_007	5,4	31	50	70	60	39	29	3	0	0	0	0	0	3	1	1	1,72985782	1,72985782	38,6	51,5	1	1	2	0	0,666666667	3	0	0	9	150	150	73	15,442637	1,26721103	13,9520548	17,3150685	3,3630137	16,0684932	1,13056024	14,6027397	17,3150685	2,71232877	15,6875	1,25995376	14,1451613	17,4516129	3,30645161	16,3354839	1,06633092	14,8709677	17,4516129	2,58064516
Högsjön	H_15_008	12,1	12,7	10	25	17,5	12,3	4,8	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564			0	0	0	1	0	1	6	0	8	60	60	73	17,1883562	2,25477098	14,6232877	20,6917808	6,06849315	18,390411	1,92239832	16,3150685	20,6917808	4,37671233	17,8064516	2,29191587	15,1290323	21,2419355	6,11290323	19,0806452	1,82989866	17,016129	21,2419355	4,22580645
Högsjön	H_15_009	6,1	9	10	25	17,5	16	8,5	1	0	0	0	0	0	1	1	1	1,72985782	1,72985782			0	0	0	0	0	1	2	0	6	60	60	73	16,7928082	1,92760741	14,5958904	19,8013699	5,20547945	17,8109589	1,65184212	16,0068493	19,8013699	3,79452055	17,3951613	2,05523074	15,0322581	20,516129	5,48387097	18,516129	1,68148708	16,6129032	20,516129	3,90322581
Högsjön	H_15_010	9,3	20	10	25	17,5	5	-2,5	0	1	0	0	0	0	1	2	2	3,45971564	3,45971564	47,3		1	0	1	1	0,5	2	2	0	15	80	80	73	16,7131849	1,02656045	15,4520548	18,1232877	2,67123288	17,2260274	0,87724816	15,9863014	18,1232877	2,1369863	17,1854839	1,09773911	15,8548387	18,6774194	2,82258065	17,7516129	0,91548466	16,4516129	18,6774194	2,22580645
Högsjön	H_15_012	6,3	25	40	40	40	15	15	1	0	0	0	0	0	1	1	1	1,72985782	1,72985782			0	0	0	0	0	1	0	0	30	55	55	73	15,6438356	1,74697683	13,6712329	18,5136986	4,84246575	16,5219178	1,57443602	14,7808219	18,5136986	3,73287671	16,3387097	1,99638717	14,1612903	19,7096774	5,5483871	17,3451613	1,80320384	15,3709677	19,7096774	4,33870968
Högsjön	H_15_013	15,3	40	60	60	60	20	20	0	2	0	0	0	0	2	2	2	3,45971564	3,45971564			0	0	0	0	0	2	0	16	4	93	0	73	15,432363	1,34889762	13,7534247	17,4383562	3,68493151	16,169863	1,06219294	15	17,4383562	2,43835616	15,7701613	1,47335811	13,9354839	17,9677419	4,03225806	16,5967742	1,11371355	15,3870968	17,9677419	2,58064516
Högsjön	H_15_014	26,8	46	30	60	45	14	-1	0	7	1	0	0	0	8	2,125	3	3,675947867	5,18957346	46,7		1	0	1	3	0,125	8	17	0	7	40	40	73	15,7628425	1,17721529	14,260274	17,5342466	3,2739726	16,3863014	0,94967559	15,1917808	17,5342466	2,34246575	16,0645161	1,15048163	14,5806452	17,7580645	3,17741935	16,6806452	0,90488049	15,5	17,7580645	2,25806452
