"id_pl"	"population"	"shoot_h"	"veg_height"	"fl_phenology"	"n_intact_fruits"	"fl_number"	"n_eggs"	"n_myrmica"	"soil_temp"
"1"	"H_15_002"	"Högsjön"	27	20	2	0	3	3	0	12,483871
"2"	"H_15_006"	"Högsjön"	15	25	2	0	1	0	0	14,4193548
"3"	"H_15_007"	"Högsjön"	31	60	1	1	3	0	0	14,1451613
"4"	"H_15_008"	"Högsjön"	12,7	17,5	2	0	1	6	0	15,1290323
"5"	"H_15_009"	"Högsjön"	9	17,5	1	0	1	2	0	15,0322581
"6"	"H_15_010"	"Högsjön"	20	17,5	2	1	2	2	0	15,8548387
"7"	"H_15_012"	"Högsjön"	25	40	1	0	1	0	0	14,1612903
"8"	"H_15_013"	"Högsjön"	40	60	2	0	2	0	16	13,9354839
"9"	"H_15_014"	"Högsjön"	46	45	3	1	8	17	0	14,5806452
"10"	"H_15_015"	"Högsjön"	30	27,5	2	1	2	0	15	14,3064516
"11"	"H_15_016"	"Högsjön"	22	27,5	2	1	3	0	1	14,9032258
"12"	"H_15_017"	"Högsjön"	33	27,5	2	0	8	7	1	14,8870968
"13"	"H_15_018"	"Högsjön"	18	27,5	2	0	5	1	4	14,6451613
"14"	"H_15_020"	"Högsjön"	12	25	2	1	1	0	0	14,1612903
"15"	"H_15_022"	"Högsjön"	22	30	2	0	2	0	2	14,6290323
"16"	"H_15_023"	"Högsjön"	26,5	40	1	0	3	0	3	14,6451613
"17"	"H_15_025"	"Högsjön"	14,5	25	2	0	1	0	0	14,6774194
"18"	"H_15_026"	"Högsjön"	27	50	2	0	2	0	5	14,7580645
"19"	"H_15_027"	"Högsjön"	11	15	2	0	1	0	1	14,4516129
"20"	"H_15_030"	"Högsjön"	23	40	2	1	2	0	15	14,7741935
"21"	"H_15_032"	"Högsjön"	24	35	2	1	2	1	11	14,7903226
"22"	"H_15_033"	"Högsjön"	19	35	2	0	2	0	18	14,7580645
"23"	"H_15_035"	"Högsjön"	22	22,5	2	1	2	1	8	14,8548387
