id_pl,days_ant_pres
H_15_001,1
H_15_002,0
H_15_003,1
H_15_004,2
H_15_005,1
H_15_006,0
H_15_007,0
H_15_008,0
H_15_009,0
H_15_010,0
H_15_011,1
H_15_012,0
H_15_013,2
H_15_014,0
H_15_015,2
H_15_016,2
H_15_017,1
H_15_018,1
H_15_019,1
H_15_020,0
H_15_021,2
H_15_022,2
H_15_023,1
H_15_024,2
H_15_025,0
H_15_026,1
H_15_027,1
H_15_028,3
H_15_029,2
H_15_030,1
H_15_031,2
H_15_032,3
H_15_033,2
H_15_034,0
H_15_035,1
H_15_036,0
H_15_037,0
H_15_038,1
H_15_039,0
H_15_040,0
H_15_041,0
H_15_042,0
H_15_043,1
H_15_044,0
H_15_045,1
H_15_046,0
H_15_047,1
H_15_048,0
H_15_049,2
H_15_050,0
H_15_051,0
H_15_052,1
H_15_053,1
H_15_054,2
H_15_055,0
H_15_056,0
H_15_057,0
H_15_058,0
H_15_059,0
H_15_060,0
H_15_061,0
H_15_062,0
H_15_063,2
H_15_064,0
H_15_065,0
H_15_066,1
H_15_067,0
H_15_068,0
H_15_069,0
H_15_070,0
H_15_071,0
H_15_072,0
H_15_073,0
H_15_074,0
H_15_075,0
H_15_076,3
H_15_077,3
H_15_078,0
H_15_079,0
H_15_080,0
H_15_081,0
H_15_082,0
H_15_083,0
H_15_084,0
H_15_085,0
H_15_086,2
H_15_087,0
H_15_088,1
H_15_089,0
H_15_090,1
H_15_091,2
H_15_092,2
H_15_093,2
H_15_094,3
H_15_095,3
H_15_096,2
H_15_097,1
H_15_098,2
H_15_099,3
H_15_100,2
H_15_101,3
H_15_102,3
H_15_103,0
H_15_104,2
H_15_105,1
H_15_106,2
H_15_107,1
H_15_108,3
H_15_109,1
H_15_110,2
H_15_111,2
H_15_112,1
H_15_113,2
H_15_114,1
H_15_115,3
H_15_116,2
H_15_117,3
H_15_118,3
H_15_119,3
H_15_120,2
H_15_121,2
H_15_122,3
H_15_123,1
H_15_124,1
H_15_125,0
H_15_126,3
H_15_127,1
H_15_128,3
H_15_129,2
H_15_130,2
H_15_131,3
H_15_132,3
H_15_133,3
H_15_134,1
H_15_135,3
H_15_136,2
H_15_137,2
H_15_138,2
H_15_139,3
H_15_140,3
H_15_141,2
H_15_142,2
H_15_143,2
H_15_144,1
H_15_145,1
H_15_146,2
H_15_147,1
H_15_148,3
H_15_149,3
H_15_150,3
H_15_151,0
H_15_152,1
H_15_154,3
H_15_155,0
H_15_156,0
H_15_157,3
H_15_F09,1
H_15_F10,2
H_15_M03,0
H_15_M17,0
H_15_M19,2
H_15_M20,2
H_15_M21,1
H_15_M22,1
H_15_M23,1
H_15_M24,1
H_15_M25,1
R_15_001,2
R_15_002,2
R_15_003,1
R_15_004,2
R_15_005,2
R_15_006,2
R_15_007,1
R_15_008,0
R_15_009,0
R_15_010,0
R_15_011,2
R_15_012,2
R_15_013,1
R_15_014,0
R_15_015,2
R_15_016,0
R_15_017,0
R_15_018,2
R_15_019,1
R_15_020,0
R_15_021,2
R_15_022,1
R_15_023,1
R_15_024,2
R_15_025,1
R_15_026,0
R_15_027,0
R_15_028,0
R_15_029,0
R_15_030,0
R_15_031,1
R_15_032,0
R_15_033,0
R_15_034,0
R_15_035,3
R_15_036,0
R_15_037,1
R_15_038,0
R_15_039,0
R_15_040,0
R_15_041,0
R_15_042,0
R_15_043,1
R_15_044,0
R_15_045,0
R_15_046,1
R_15_047,0
R_15_048,1
R_15_049,1
R_15_050,1
R_15_051,1
R_15_052,0
R_15_053,1
R_15_054,1
R_15_055,0
R_15_056,2
R_15_057,0
R_15_058,1
R_15_059,0
R_15_060,2
R_15_061,1
R_15_062,3
R_15_063,2
R_15_064,1
R_15_065,2
R_15_066,1
R_15_067,2
R_15_068,0
R_15_069,1
R_15_070,0
R_15_071,2
R_15_072,1
R_15_073,3
R_15_074,3
R_15_075,1
R_15_076,1
R_15_077,0
R_15_078,0
R_15_079,1
R_15_080,0
R_15_081,0
R_15_082,0
R_15_083,0
R_15_086,0
R_15_088,1
R_15_089,1
R_15_090,1
R_15_091,1
R_15_092,1
R_15_093,0
R_15_094,0
R_15_095,0
R_15_096,0
R_15_097,1
R_15_098,0
R_15_099,2
R_15_100,0
R_15_101,1
R_15_F01,2
R_15_F02,1
R_15_F03,2
R_15_F04,0
R_15_F05,1
R_15_F06,0
R_15_F07,0
R_15_F08,1
R_15_F09,3
R_15_F10,2
R_15_F11,1
R_15_F12,1
R_15_F13,3
R_15_F14,1
R_15_F15,3
R_15_F16,2
R_15_F17,0
R_15_F18,1
R_15_F19,0
R_15_M01,0
R_15_M02,1
R_15_M03,2
R_15_M04,0
R_15_M05,0
R_15_M06,0
R_15_M07,1
R_15_M08,0
R_15_M09,1
R_15_M10,2
R_15_M11,1
R_15_M12,0
R_15_M13,2
R_15_M14,0
R_15_M15,0
R_15_M16,0
R_15_M17,2
R_15_M18,0
R_15_M19,2
R_15_M20,3
R_15_M21,2
R_15_M22,3
R_15_M23,3
R_15_M24,1
R_15_M25,0
R_15_M26,2
R_15_M27,0
R_15_M28,3
R_15_M29,1
R_15_M30,1
R_15_M31,1
R_15_M32,1
R_15_M33,1
R_15_M34,3
R_15_M35,0
R_15_M36,1
R_15_M37,3
R_15_M38,1
R_15_M39,1
R_15_M40,3
R_15_M41,4
R_15_M42,2
R_15_M43,2
R_15_M44,3
R_15_M45,3
R_15_M46,1
R_15_M47,2
R_15_M48,1
R_15_M49,2
R_15_M50,0
R_15_M51,1
R_15_M52,2
R_15_M53,2
R_15_M54,2
R_15_M55,3
R_15_M56,2
R_15_M57,3
T_15_001,0
T_15_002,0
T_15_003,0
T_15_004,0
T_15_005,1
T_15_006,1
T_15_007,1
T_15_008,0
T_15_009,2
T_15_010,2
T_15_011,0
T_15_012,3
T_15_013,1
T_15_014,2
T_15_015,2
T_15_016,2
T_15_017,3
T_15_018,3
T_15_019,2
T_15_020,2
T_15_021,1
T_15_022,3
T_15_023,0
T_15_024,1
T_15_025,0
T_15_026,2
T_15_027,3
T_15_028,2
T_15_029,1
T_15_030,3
T_15_031,0
T_15_032,0
T_15_033,1
T_15_034,1
