id_pl	mean_t_anomaly
H_15_001	0,69126624
H_15_002	0,34818114
H_15_003	1,32557475
H_15_005	-0,0707018
H_15_006	1,87211731
H_15_007	0,24445773
H_15_008	2,36679816
H_15_009	1,91600029
H_15_010	1,72318114
H_15_011	0,70988326
H_15_012	0,64073433
H_15_013	0,23647901
H_15_014	0,54631943
H_15_015	0,35084071
H_15_016	0,97850029
H_15_017	1,20190454
H_15_018	0,9558939
H_15_019	2,28169177
H_15_020	1,90802156
H_15_021	0,63807475
H_15_022	0,58621305
H_15_023	0,40270241
H_15_024	0,98913858
H_15_025	1,24046837
H_15_026	0,47318114
H_15_027	1,91998965
H_15_028	-0,0427763
H_15_029	0,17131943
H_15_030	0,81892582
H_15_031	0,88674497
H_15_032	0,96121305
H_15_033	0,78701092
H_15_034	0,90270241
H_15_035	0,69791518
H_15_036	-0,0028827
H_15_037	0,92131943
H_15_038	0,26440454
H_15_039	2,56360667
H_15_040	2,19259603
H_15_041	2,1128088
H_15_043	0,76174497
H_15_044	0,93860667
H_15_045	1,13142582
H_15_046	1,27105348
H_15_047	0,94392582
H_15_048	0,8308939
H_15_049	0,69392582
H_15_050	1,1952556
H_15_051	0,75243646
H_15_052	1,0503088
H_15_053	0,57823433
H_15_054	0,28302156
H_15_055	1,12211731
H_15_056	0,6753088
H_15_057	0,76307475
H_15_058	0,51573433
H_15_059	0,60350029
H_15_060	0,43062795
H_15_061	1,00243646
H_15_062	0,08488326
H_15_064	-0,1265529
H_15_065	0,55562795
H_15_066	-0,4111274
H_15_067	-1,2515529
H_15_068	-0,2542125
H_15_069	0,18594709
H_15_070	-0,4576699
H_15_071	-0,0853295
H_15_072	-0,3925104
H_15_073	-0,2994252
H_15_074	-1,0893189
H_15_075	-0,3113933
H_15_076	0,11812795
H_15_077	0,40004284
H_15_078	0,41998965
H_15_079	0,77637263
H_15_080	-0,0308082
H_15_081	-1,3818721
H_15_083	-0,1730955
H_15_084	-0,5813401
H_15_085	0,47584071
H_15_086	-1,3300104
H_15_087	-0,1797444
H_15_088	-0,5241593
H_15_089	-0,1212338
H_15_090	-0,8300104
H_15_091	-1,0720316
H_15_092	-0,8672444
H_15_093	-0,7808082
H_15_094	-1,6957018
H_15_095	-1,6558082
H_15_096	-0,6358614
H_15_097	-0,9097976
H_15_098	-1,3592657
H_15_099	-1,7183082
H_15_100	-1,7262869
H_15_101	-1,6425104
H_15_102	-1,5121912
H_15_103	-1,7355955
H_15_104	-1,369904
H_15_105	-1,4909146
H_15_106	-1,4496912
H_15_107	-1,657138
H_15_108	-1,2409146
H_15_109	-1,2927763
H_15_110	-1,7143189
H_15_111	-2,2342657
H_15_112	-1,5786806
H_15_113	-1,0427763
H_15_114	-1,6305423
H_15_116	-0,8951699
H_15_117	-1,7967657
H_15_118	-1,2369252
H_15_119	-1,2249572
H_15_120	-1,4350635
H_15_121	-1,1717657
H_15_122	-0,9044784
H_15_123	-0,7116593
H_15_124	-0,550755
H_15_125	-0,9789465
H_15_126	-0,9044784
H_15_127	-1,5773508
H_15_128	-0,9722976
H_15_129	-0,9058082
H_15_131	-1,2582018
H_15_132	-1,5347976
H_15_133	0,99977688
H_15_134	-0,6092657
H_15_135	-0,5773508
H_15_136	-0,6611274
H_15_137	-0,6225635
H_15_138	-0,451021
H_15_139	-1,6425104
H_15_140	-1,0347976
H_15_141	-0,9177763
H_15_142	-1,2754891
H_15_143	-1,2475635
H_15_144	-1,2103295
H_15_145	-1,0082018
H_15_146	0,54233007
H_15_147	1,55695773
H_15_148	2,02504284
H_15_149	1,41334071
H_15_150	1,80429816
H_15_151	2,88009603
H_15_152	1,28036199
H_15_154	-0,9137869
H_15_155	1,3628088
H_15_156	1,93860667
R_15_001	0,24798777
R_15_002	-0,3987514
R_15_003	-0,4204905
R_15_004	-0,976197
R_15_005	0,19771603
R_15_006	0,32407472
R_15_007	-0,6161427
R_15_008	-0,4014688
R_15_009	-0,2071753
R_15_010	-0,4028275
R_15_011	-1,1175014
R_15_012	-1,0889688
R_15_013	-0,8566318
R_15_014	-0,4558166
R_15_015	-0,1963057
R_15_016	-0,6528275
R_15_017	-0,3077188
R_15_018	-0,4354361
R_15_019	0,40559646
R_15_020	-0,3213057
R_15_021	-0,0658709
R_15_022	-0,708534
R_15_023	-0,7098927
R_15_024	-0,4571753
R_15_025	0,36755298
R_15_026	0,17733559
R_15_027	0,87706385
R_15_028	1,06728124
R_15_029	1,05912907
R_15_030	0,89608559
R_15_031	-0,4109796
R_15_032	0,15559646
R_15_033	0,10940081
R_15_034	0,23983559
R_15_035	0,5104022
R_15_036	0,30623553
R_15_037	0,6229022
R_15_038	-0,5159867
R_15_039	0,10623553
R_15_040	0,64234664
R_15_041	1,23262442
R_15_042	0,82845775
R_15_043	0,48401331
R_15_044	0,81179109
R_15_045	0,20901331
R_15_046	1,02706887
R_15_047	0,26873553
R_15_048	0,6479022
R_15_049	-0,2159867
R_15_050	0,67012442
R_15_051	-0,5034867
R_15_052	0,21873553
R_15_053	-0,2159867
R_15_054	-0,61182
R_15_055	0,03817998
R_15_056	-0,4090422
R_15_057	-0,1507089
R_15_058	-0,1590422
R_15_059	-0,2479311
R_15_060	0,07706887
R_15_061	-0,1326534
R_15_062	-1,6465422
R_15_064	0,37845775
R_15_065	-1,4132089
R_15_066	-0,9145978
R_15_067	-0,1298756
R_15_068	-1,3104311
R_15_069	2,82706887
R_15_070	0,05206887
R_15_071	-0,5548756
R_15_072	-0,8159867
R_15_073	0,09651331
R_15_074	0,29929109
R_15_075	-0,1798756
R_15_076	-0,73682
R_15_077	-0,1882089
R_15_078	0,47567998
R_15_079	0,15901331
R_15_080	0,18262442
R_15_081	0,49512442
R_15_082	0,66595775
R_15_083	0,70484664
R_15_086	0,61873553
R_15_088	0,08262442
R_15_089	0,1604022
R_15_090	0,1479022
R_15_091	0,2229022
R_15_092	0,25206887
R_15_093	0,74234664
R_15_094	-0,2909867
R_15_095	-0,6590422
R_15_096	0,12567998
R_15_097	0,55345775
R_15_098	0,16873553
R_15_099	-0,2451534
R_15_100	-0,6687645
T_15_001	1,23829191
T_15_002	0,46177676
T_15_003	0,41632221
T_15_004	0,23829191
T_15_005	0,01291312
T_15_006	-0,3336778
T_15_007	-0,3336778
T_15_008	0,01291312
T_15_009	-0,1613293
T_15_010	-0,1613293
T_15_011	1,00533737
T_15_012	-0,1897384
T_15_013	0,67011009
T_15_014	0,75154949
T_15_015	0,62276161
T_15_016	-1,2617081
T_15_017	0,00154949
T_15_018	-0,4132232
T_15_019	-0,4132232
T_15_020	0,57541312
T_15_021	0,15685252
T_15_022	-0,1480717
T_15_023	0,15685252
T_15_024	-0,5268596
T_15_025	1,08488282
T_15_026	0,62844343
T_15_027	0,29132221
T_15_028	0,30079191
T_15_029	0,67200403
T_15_030	0,67200403
T_15_031	0,39359494
T_15_032	0,39359494
T_15_033	0,4106404
T_15_034	0,05079191
T_15_035	0,05079191
T_15_036	0,65495858
T_15_037	-0,0912535
T_15_038	-0,0912535
T_15_039	0,73639797
T_15_040	0,53753434
T_15_041	0,704201
T_15_042	0,13412525
T_15_043	0,07351918
T_15_044	0,07351918
T_15_045	0,53753434
T_15_046	0,5342989
T_15_047	0,5342989
T_15_048	0,65495858
T_15_049	-0,0836778
T_15_050	0,07351918
T_15_051	0,04889797
T_15_052	0,23450403
T_15_053	0,35192828
T_15_054	0,06783737
T_15_055	-0,1480717
T_15_056	-0,5798899
T_15_057	0,60192828
T_15_058	0,19094343
T_15_059	0,42389797
T_15_060	-0,2901172
T_15_061	0,49018585
T_15_062	0,49018585
T_15_063	-0,8128445
T_15_064	-0,0117081
T_15_065	0,22124646
T_15_066	-1,0628445
T_15_067	-0,6575414
T_15_068	0,64548888
T_15_069	0,54132221
T_15_070	-0,4283748
T_15_071	-0,4283748
T_15_072	0,02048888
T_15_073	-0,7446626
T_15_074	-0,6348141
T_15_075	-0,7692838
T_15_076	0,09435252
T_15_077	-0,8052687
T_15_078	-0,7692838
T_15_079	-0,7048899
T_15_080	-0,140496
T_15_081	-0,140496
T_15_082	-0,0306475
T_15_083	-0,2730717
T_15_084	-0,3393596
T_15_085	-0,3393596
T_15_086	-0,8526172
T_15_087	-0,7181475
T_15_088	-1,6310263
T_15_089	-0,5988293
T_15_090	-0,2200414
T_15_091	-0,5988293
T_15_092	-0,3393596
T_15_093	-0,2200414
T_15_094	0,05836767
T_15_095	-0,4624657
T_15_096	-0,6177687
T_15_097	0,17011009
T_15_098	0,26859494
T_15_099	0,26859494
T_15_100	-0,0704202
T_15_101	-0,4283748
T_15_102	0,72692828
T_15_103	-0,5344354
