id_pl,n_redants_mean
H_15_001,0.66666667
H_15_002,0
H_15_003,6.66666667
H_15_004,6.33333333
H_15_005,0.33333333
H_15_006,0
H_15_007,0
H_15_008,0
H_15_009,0
H_15_010,0
H_15_011,1
H_15_012,0
H_15_013,8
H_15_014,0
H_15_015,7.66666667
H_15_016,0.66666667
H_15_017,0.33333333
H_15_018,1.33333333
H_15_019,0.33333333
H_15_020,0
H_15_021,2.33333333
H_15_022,1
H_15_023,1
H_15_024,2.66666667
H_15_025,0
H_15_026,1.66666667
H_15_027,0.33333333
H_15_028,14
H_15_029,10.3333333
H_15_030,5
H_15_031,13.3333333
H_15_032,4.33333333
H_15_033,7.66666667
H_15_034,0
H_15_035,2.66666667
H_15_036,0
H_15_037,0
H_15_038,2
H_15_039,0
H_15_040,0
H_15_041,0
H_15_042,0
H_15_043,0.66666667
H_15_044,0
H_15_045,0.33333333
H_15_046,0
H_15_047,0.33333333
H_15_048,0
H_15_049,1
H_15_050,0
H_15_051,0
H_15_052,3
H_15_053,1.33333333
H_15_054,4.33333333
H_15_055,0
H_15_056,0
H_15_057,0
H_15_058,0
H_15_059,0
H_15_060,0
H_15_061,0
H_15_062,0
H_15_063,1
H_15_064,0
H_15_065,0
H_15_066,5
H_15_067,0
H_15_068,0
H_15_069,0
H_15_070,0
H_15_071,0
H_15_072,0
H_15_073,0
H_15_074,0
H_15_075,0
H_15_076,10
H_15_077,6
H_15_078,0
H_15_079,0
H_15_080,0
H_15_081,0
H_15_082,0
H_15_083,0
H_15_084,0
H_15_085,0
H_15_086,1.66666667
H_15_087,0
H_15_088,0.33333333
H_15_089,0
H_15_090,2
H_15_091,1.33333333
H_15_092,7
H_15_093,2.33333333
H_15_094,8.66666667
H_15_095,6
H_15_096,9
H_15_097,0.33333333
H_15_098,1.66666667
H_15_099,2.66666667
H_15_100,1.33333333
H_15_101,3
H_15_102,2
H_15_103,0
H_15_104,0.66666667
H_15_105,0.33333333
H_15_106,0.66666667
H_15_107,0.33333333
H_15_108,1.33333333
H_15_109,0.33333333
H_15_110,0.66666667
H_15_111,1
H_15_112,0.66666667
H_15_113,4.33333333
H_15_114,0.33333333
H_15_115,2.66666667
H_15_116,1.33333333
H_15_117,13.6666667
H_15_118,16.3333333
H_15_119,5.33333333
H_15_120,4
H_15_121,2.66666667
H_15_122,1
H_15_123,0.33333333
H_15_124,2.66666667
H_15_125,0
H_15_126,2.33333333
H_15_127,1.66666667
H_15_128,2.66666667
H_15_129,1.33333333
H_15_130,2.33333333
H_15_131,5.66666667
H_15_132,3.33333333
H_15_133,26.6666667
H_15_134,0.33333333
H_15_135,6.33333333
H_15_136,1.33333333
H_15_137,7.66666667
H_15_138,1
H_15_139,13.6666667
H_15_140,3
H_15_141,2.33333333
H_15_142,1
H_15_143,2.33333333
H_15_144,5
H_15_145,0.33333333
H_15_146,2
H_15_147,1.33333333
H_15_148,6.33333333
H_15_149,25
H_15_150,11.6666667
H_15_151,0
H_15_152,0.33333333
H_15_154,7.33333333
H_15_155,0
H_15_156,0
H_15_157,4
R_15_001,0.66666667
R_15_002,1.66666667
R_15_003,0.33333333
R_15_004,0.66666667
R_15_005,1.66666667
R_15_006,1.66666667
R_15_007,1
R_15_008,0
R_15_009,0
R_15_010,0
R_15_011,1.66666667
R_15_012,1
R_15_013,0.33333333
R_15_014,0
R_15_015,1.33333333
R_15_016,0
R_15_017,0
R_15_018,0.66666667
R_15_019,0.33333333
R_15_020,0
R_15_021,1.66666667
R_15_022,0.33333333
R_15_023,5
R_15_024,8.66666667
R_15_025,0.66666667
R_15_026,0
R_15_027,0
R_15_028,0
R_15_029,0
R_15_030,0
R_15_031,0.33333333
R_15_032,0
R_15_033,0
R_15_034,0
R_15_035,3.66666667
R_15_036,0
R_15_037,2
R_15_038,0
R_15_039,0
R_15_040,0
R_15_041,0
R_15_042,0
R_15_043,0.33333333
R_15_044,0
R_15_045,0
R_15_046,0.33333333
R_15_047,0
R_15_048,0.33333333
R_15_049,0.66666667
R_15_050,0.66666667
R_15_051,0.66666667
R_15_052,0
R_15_053,0.66666667
R_15_054,0.66666667
R_15_055,0
R_15_056,1.33333333
R_15_057,0
R_15_058,0.33333333
R_15_059,0
R_15_060,1.33333333
R_15_061,0.33333333
R_15_062,1.66666667
R_15_063,1
R_15_064,1.33333333
R_15_065,3.66666667
R_15_066,1
R_15_067,0.66666667
R_15_068,0
R_15_069,0.33333333
R_15_070,0
R_15_071,1.66666667
R_15_072,4
R_15_073,1.66666667
R_15_074,6
R_15_075,1
R_15_076,0.33333333
R_15_077,0
R_15_078,0
R_15_079,3.66666667
R_15_080,0
R_15_081,0
R_15_082,0
R_15_083,0
R_15_086,0
R_15_088,0.33333333
R_15_089,0.66666667
R_15_090,0.33333333
R_15_091,0.33333333
R_15_092,0.33333333
R_15_093,0
R_15_094,0
R_15_095,0
R_15_096,0
R_15_097,1.33333333
R_15_098,0
R_15_099,0.66666667
R_15_100,0
R_15_101,0.5
R_15_F01,2
R_15_F02,0.33333333
R_15_F03,3
R_15_F04,0
R_15_F05,0.33333333
R_15_F06,0
R_15_F07,0
R_15_F08,1
R_15_F09,9
R_15_F10,13.3333333
R_15_F11,0.33333333
R_15_F12,0.66666667
R_15_F13,2.66666667
R_15_F14,1
R_15_F15,4.5
R_15_F16,4
R_15_F17,0
R_15_F18,0.25
R_15_F19,0
R_15_M01,0
R_15_M02,0.33333333
R_15_M03,4.33333333
R_15_M04,0
R_15_M05,0
R_15_M06,0
R_15_M07,0.66666667
R_15_M08,0
R_15_M09,3.33333333
R_15_M10,4.33333333
R_15_M11,0.33333333
R_15_M12,0
R_15_M13,6.66666667
R_15_M14,0
R_15_M15,0
R_15_M16,0
R_15_M17,5.33333333
R_15_M18,0
R_15_M19,5
R_15_M20,8
R_15_M21,5.66666667
R_15_M22,5
R_15_M23,9
R_15_M24,0.66666667
R_15_M25,0
R_15_M26,1
R_15_M27,0
R_15_M28,1
R_15_M29,0.33333333
R_15_M30,1
R_15_M31,1.66666667
R_15_M32,0.33333333
R_15_M33,0.33333333
R_15_M34,7.33333333
R_15_M35,0
R_15_M36,1
R_15_M37,5.33333333
R_15_M38,0.33333333
R_15_M39,0.66666667
R_15_M40,11
R_15_M41,16.75
R_15_M42,6.75
R_15_M43,2
R_15_M44,13
R_15_M45,5.25
R_15_M46,1.25
R_15_M47,2.5
R_15_M48,1.5
R_15_M49,2.25
R_15_M50,0
R_15_M51,0.25
R_15_M52,0.75
R_15_M53,1.25
R_15_M54,4
R_15_M55,6
R_15_M56,4
R_15_M57,8
T_15_001,0
T_15_002,0
T_15_003,0
T_15_004,0
T_15_005,0.33333333
T_15_006,2
T_15_007,2.33333333
T_15_008,0
T_15_009,12.3333333
T_15_010,13.3333333
T_15_011,0
T_15_012,14.3333333
T_15_013,0.33333333
T_15_014,2.33333333
T_15_015,10
T_15_016,5
T_15_017,27.3333333
T_15_018,12.3333333
T_15_019,7.33333333
T_15_020,25
T_15_021,5
T_15_022,31.6666667
T_15_023,0
T_15_024,2.33333333
T_15_025,0
T_15_026,4.33333333
T_15_027,7.66666667
T_15_028,2
T_15_029,2.66666667
T_15_030,8
T_15_031,0
T_15_032,0
T_15_033,2
T_15_034,0.33333333
T_15_035,0.66666667
