id_pl,n_redants_sum
H_15_001,2
H_15_002,0
H_15_003,21
H_15_004,25
H_15_005,1
H_15_006,0
H_15_007,0
H_15_008,0
H_15_009,0
H_15_010,0
H_15_011,3
H_15_012,0
H_15_013,30
H_15_014,0
H_15_015,37
H_15_016,2
H_15_017,1
H_15_018,9
H_15_019,1
H_15_020,0
H_15_021,8
H_15_022,3
H_15_023,3
H_15_024,9
H_15_025,0
H_15_026,7
H_15_027,1
H_15_028,73
H_15_029,76
H_15_030,25
H_15_031,53
H_15_032,17
H_15_033,29
H_15_034,0
H_15_035,9
H_15_036,0
H_15_037,0
H_15_038,7
H_15_039,0
H_15_040,0
H_15_041,0
H_15_042,0
H_15_043,2
H_15_044,0
H_15_045,1
H_15_046,0
H_15_047,1
H_15_048,0
H_15_049,3
H_15_050,0
H_15_051,0
H_15_052,9
H_15_053,5
H_15_054,14
H_15_055,0
H_15_056,0
H_15_057,0
H_15_058,0
H_15_059,0
H_15_060,0
H_15_061,0
H_15_062,0
H_15_063,3
H_15_064,0
H_15_065,0
H_15_066,15
H_15_067,0
H_15_068,0
H_15_069,0
H_15_070,0
H_15_071,0
H_15_072,0
H_15_073,0
H_15_074,0
H_15_075,0
H_15_076,32
H_15_077,24
H_15_078,0
H_15_079,0
H_15_080,0
H_15_081,0
H_15_082,0
H_15_083,0
H_15_084,0
H_15_085,0
H_15_086,5
H_15_087,0
H_15_088,1
H_15_089,0
H_15_090,7
H_15_091,5
H_15_092,35
H_15_093,9
H_15_094,54
H_15_095,32
H_15_096,41
H_15_097,1
H_15_098,6
H_15_099,11
H_15_100,4
H_15_101,11
H_15_102,7
H_15_103,0
H_15_104,2
H_15_105,1
H_15_106,2
H_15_107,1
H_15_108,4
H_15_109,1
H_15_110,2
H_15_111,4
H_15_112,2
H_15_113,21
H_15_114,1
H_15_115,8
H_15_116,5
H_15_117,69
H_15_118,108
H_15_119,19
H_15_120,15
H_15_121,8
H_15_122,3
H_15_123,1
H_15_124,9
H_15_125,0
H_15_126,10
H_15_127,6
H_15_128,10
H_15_129,4
H_15_130,15
H_15_131,26
H_15_132,14
H_15_133,123
H_15_134,1
H_15_135,23
H_15_136,5
H_15_137,39
H_15_138,4
H_15_139,64
H_15_140,13
H_15_141,8
H_15_142,3
H_15_143,8
H_15_144,16
H_15_145,1
H_15_146,6
H_15_147,6
H_15_148,19
H_15_149,97
H_15_150,36
H_15_151,0
H_15_152,1
H_15_154,39
H_15_155,0
H_15_156,0
H_15_157,18
R_15_001,2
R_15_002,5
R_15_003,1
R_15_004,2
R_15_005,6
R_15_006,6
R_15_007,3
R_15_008,0
R_15_009,0
R_15_010,0
R_15_011,5
R_15_012,4
R_15_013,1
R_15_014,0
R_15_015,5
R_15_016,0
R_15_017,0
R_15_018,2
R_15_019,1
R_15_020,0
R_15_021,5
R_15_022,1
R_15_023,23
R_15_024,41
R_15_025,2
R_15_026,0
R_15_027,0
R_15_028,0
