population	population2	pl_id	p_up	ripe_when_collect	n_dev	n_undev	n_total	perc_dev	perc_undev	mean_w_dev_mcg
Högsjön	Högsjön	10	up	ripe	283	50	333	84,984985	15,015015	33,5689046
Högsjön	Högsjön	113	up	ripe	637	195	832	76,5625	23,4375	37,833595
Högsjön	Högsjön	123	up	ripe	393	93	486	80,8641975	19,1358025	33,5877863
Högsjön	Högsjön	124	up	ripe	114	195	309	36,8932039	63,1067961	48,245614
Högsjön	Högsjön	132	up	unripe	43	301	344	12,5	87,5	53,4883721
Högsjön	Högsjön	14	up	ripe	178	112	290	61,3793103	38,6206897	60,1123596
Högsjön	Högsjön	145	up	unripe	382	82	464	82,3275862	17,6724138	32,7225131
Högsjön	Högsjön	148	up	ripe	417	31	448	93,0803571	6,91964286	29,0167866
Högsjön	Högsjön	15	up	ripe	567	39	606	93,5643564	6,43564356	50,7936508
Högsjön	Högsjön	154	up	ripe	142	281	423	33,56974	66,4302601	58,4507042
Högsjön	Högsjön	16	up	ripe	251	76	327	76,7584098	23,2415902	55,3784861
Högsjön	Högsjön	20	up	ripe	200	176	376	53,1914894	46,8085106	43,315508
Högsjön	Högsjön	25	p	ripe	269	29	298	90,2684564	9,73154362	52,4163569
Högsjön	Högsjön	35	up	ripe	156	30	186	83,8709677	16,1290323	59,6153846
Högsjön	Högsjön	37	up	ripe	33	524	557	5,92459605	94,075404	42,4242424
Högsjön	Högsjön	41	up	ripe	251	62	313	80,1916933	19,8083067	51,7928287
Högsjön	Högsjön	43	p	ripe	94	56	150	62,6666667	37,3333333	45,7446809
Högsjön	Högsjön	46	up	ripe	2	260	262	0,76335878	99,2366412	
Högsjön	Högsjön	48	p	ripe	90	84	174	51,7241379	48,2758621	34,4444444
Högsjön	Högsjön	49	up	ripe	294	149	443	66,3656885	33,6343115	47,9591837
Högsjön	Högsjön	56	up	ripe	165	71	236	69,9152542	30,0847458	46,0606061
Högsjön	Högsjön	60	up	ripe	140	246	386	36,2694301	63,73057	48,5714286
Högsjön	Högsjön	63	p	ripe	0	82	82	0	100	
Högsjön	Högsjön	67	up	ripe	252	156	408	61,7647059	38,2352941	41,6666667
Högsjön	Högsjön	7	p	ripe	641	70	711	90,1547117	9,84528833	42,7457098
Högsjön	Högsjön	73	up	ripe	212	60	272	77,9411765	22,0588235	26,8867925
Högsjön	Högsjön	74	up	ripe	214	233	447	47,8747204	52,1252796	61,2149533
Högsjön	Högsjön	76	up	ripe	215	64	279	77,0609319	22,9390681	38,1395349
Högsjön	Högsjön	95	up	ripe	17	540	557	3,05206463	96,9479354	47,0588235
Högsjön cutting exp.	Högsjön	1.2	up	ripe	68	81	149	45,6375839	54,3624161	58,8235294
Högsjön cutting exp.	Högsjön	10.1	up	unripe	355	147	502	70,7171315	29,2828685	24,7887324
Högsjön cutting exp.	Högsjön	10.3	up	ripe	53	270	323	16,4086687	83,5913313	30,1886793
Högsjön cutting exp.	Högsjön	3.4	p	ripe	0	3	3	0	100	
Högsjön cutting exp.	Högsjön	3.5	p	ripe	0			0	100	
Högsjön cutting exp.	Högsjön	3.8	up	ripe	215	185	400	53,75	46,25	80,9302326
Högsjön cutting exp.	Högsjön	3.9	p	ripe	7	63	70	10	90	
Högsjön cutting exp.	Högsjön	4.10	p	ripe	193	149	342	56,4327485	43,5672515	64,7668394
Högsjön cutting exp.	Högsjön	4.5	up	ripe	230	115	345	66,6666667	33,3333333	58,6956522
Högsjön cutting exp.	Högsjön	4.7	p	ripe	295	171	466	63,304721	36,695279	41,0169492
Högsjön cutting exp.	Högsjön	4.8	up	ripe	83	452	535	15,5140187	84,4859813	57,8313253
Högsjön cutting exp.	Högsjön	5.4	p	ripe	0			0	100	
Högsjön cutting exp.	Högsjön	5.4	up	ripe	133	11	144	92,3611111	7,63888889	42,8571429
Högsjön cutting exp.	Högsjön	5.8	up	ripe	272	240	512	53,125	46,875	35,6617647
Högsjön cutting exp.	Högsjön	5.9	up	ripe	292	87	379	76,5969909	23,4030091	42,47003
Högsjön cutting exp.	Högsjön	6.4	up	ripe	271	103	374	72,4598931	27,540107	44,6494465
Högsjön cutting exp.	Högsjön	6.6	up	unripe	520	237	757	68,6922061	31,3077939	44,0384615
Högsjön cutting exp.	Högsjön	7.10	up	unripe	251	66	317	79,1798107	20,8201893	58,1673307
Högsjön cutting exp.	Högsjön	7.3	up	unripe	87	300	387	22,4806202	77,5193798	25,2873563
Högsjön cutting exp.	Högsjön	7.7	up	unripe	172	46	218	78,8990826	21,1009174	36,0465116
Högsjön cutting exp.	Högsjön	8.1	up	unripe	240	83	323	74,3034056	25,6965944	50,4166667
Högsjön cutting exp.	Högsjön	9.10	up	unripe	104	401	505	20,5940594	79,4059406	48,0769231
Högsjön cutting exp.	Högsjön	9.2	up	unripe	300	182	482	62,2406639	37,7593361	48
Högsjön cutting exp.	Högsjön	9.5	up	ripe	32	335	367	8,71934605	91,280654	46,875
Högsjön cutting exp.	Högsjön	9.9	up	unripe	102	399	501	20,3592814	79,6407186	37,254902
Remmene	Remmene	15	p	ripe	400	100	500	80	20	49
Remmene	Remmene	16	up	ripe	576	63	639	90,1408451	9,85915493	27,2569444
Remmene	Remmene	20	p	ripe	0	100	100	0	100	
Remmene	Remmene	27	p	ripe	0	131	131	0	100	
Remmene	Remmene	3	up	ripe	286	247	533	53,6585366	46,3414634	25,1748252
Remmene	Remmene	47	up	ripe	0			0	100	
Remmene	Remmene	66	p	ripe	541	22	563	96,0923623	3,90763766	36,4140481
Remmene	Remmene	67	p	ripe	283	140	423	66,9030733	33,0969267	13,4275618
Remmene	Remmene	81	up	unripe	487	200	687	70,8879185	29,1120815	18,0698152
Remmene	Remmene	82	p	ripe	0	4	4	0	100	
Remmene	Remmene	85	p	ripe	0	0	0	0	100	
Remmene	Remmene	86	p	ripe	107	280	387	27,6485788	72,3514212	18,6915888
Remmene	Remmene	86	up	ripe	10	451	461	2,1691974	97,8308026	
Remmene	Remmene	9	up	ripe	0	2	2	0	100	
Remmene	Remmene	92	p	ripe	0			0	100	
Remmene	Remmene	93	up	ripe	380	41	421	90,2612827	9,73871734	37,631579
Remmene	Remmene	95	p	ripe	296	114	410	71,9702159	28,0297841	36,1283596
Remmene	Remmene	99	up	unripe	62	323	385	16,1038961	83,8961039	27,4193548
Tånga Hed	Tånga Hed	1	up	ripe	507,666667	31,6666667	539,333333	94,9628907	5,03710933	39,1528642
Tånga Hed	Tånga Hed	100	p	ripe	32	65	97	32,9896907	67,0103093	28,125
Tånga Hed	Tånga Hed	100	up	ripe	373	252	625	59,68	40,32	58,1769437
Tånga Hed	Tånga Hed	101	p	ripe	46	339	385	12,6446664	87,3553336	37,004662
Tånga Hed	Tånga Hed	101	up	ripe	937	55	992	94,4556452	5,54435484	44,1835646
Tånga Hed	Tånga Hed	102	p	ripe	247	73	320	77,1875	22,8125	23,0769231
Tånga Hed	Tånga Hed	102	up	ripe	591,666667	29	620,666667	95,3220461	4,6779539	32,5612974
Tånga Hed	Tånga Hed	103	up	unripe	496	71	567	87,4779541	12,5220459	20,9677419
Tånga Hed	Tånga Hed	11	up	unripe	435	16	451	96,4523282	3,54767184	34,2528736
Tånga Hed	Tånga Hed	12	p	ripe	376	114,666667	490,666667	76,339737	23,660263	42,8001477
Tånga Hed	Tånga Hed	13	p	ripe	608	87	695	87,4820144	12,5179856	33,0592105
Tånga Hed	Tånga Hed	14	p	ripe	300	112	412	72,815534	27,184466	41,6666667
Tånga Hed	Tånga Hed	14	up	ripe	786,5	23,5	810	96,6825236	3,31747636	43,5845767
Tånga Hed	Tånga Hed	17	up	unripe	348	202	550	63,2727273	36,7272727	24,7813411
