population	pl_id	p_up	ripe_when_collect	N	n_dev	n_undev	n_total	perc_dev	perc_undev	mean_w_dev_mcg
H	5.4	p	ripe	1	0		0	0	100	
H	5.4	up	ripe	1	133	11	144	92,3611111	7,63888889	42,8571429
R	86	p	ripe	1	107	280	387	27,6485788	72,3514212	18,6915888
R	86	up	ripe	1	10	451	461	2,1691974	97,8308026	
T	100	p	ripe	1	32	65	97	32,9896907	67,0103093	28,125
T	100	up	ripe	1	373	252	625	59,68	40,32	58,1769437
T	101	p	ripe	2	46	339	385	12,6446664	87,3553336	37,004662
T	101	up	ripe	1	937	55	992	94,4556452	5,54435484	44,1835646
T	102	p	ripe	1	247	73	320	77,1875	22,8125	23,0769231
T	102	up	ripe	3	591,666667	29	620,666667	95,3220461	4,6779539	32,5612974
T	14	p	ripe	1	300	112	412	72,815534	27,184466	41,6666667
T	14	up	ripe	2	786,5	23,5	810	96,6825236	3,31747636	43,5845767
T	18	p	ripe	1	13	12	25	52	48	
T	18	up	unripe	1	730	113	843	86,5954923	13,4045077	31,0344828
T	19	p	ripe	1	37	60	97	38,1443299	61,8556701	43,2432432
T	19	up	ripe	1	638	17	655	97,4045802	2,59541985	50,1567398
T	2	p	ripe	1	365	130	495	73,7373737	26,2626263	41,6438356
T	2	up	ripe	3	752,666667	88,6666667	841,333333	90,293878	9,70612204	40,9390213
T	3	p	ripe	1	126	259	385	32,7272727	67,2727273	40
T	3	up	unripe	1	493	83	576	85,5902778	14,4097222	58,4178499
T	30	p	ripe	1	0	0	0	0	100	
T	30	up	unripe	1	469	13	482	97,3029046	2,69709544	45,6289979
T	32	p	unripe	1	122	320	442	27,60181	72,3981901	39,3442623
T	32	up	ripe	1	750	38	788	95,177665	4,82233503	40,8
T	33	p	ripe	1	43	41	84	51,1904762	48,8095238	23,255814
T	33	up	unripe	1	738	21	759	97,2332016	2,76679842	47,8319783
T	40	p	ripe	1	514	120	634	81,0725552	18,9274448	34,8249027
T	40	up	ripe	1	336	20	356	94,3820225	5,61797753	35,1190476
T	41	p	ripe	1	67	60	127	52,7559055	47,2440945	34,3283582
T	41	up	ripe	1	607	53	660	91,969697	8,03030303	49,752883
T	46	p	unripe	1	43	50	93	46,2365591	53,7634409	39,5348837
T	46	up	unripe	1	502	37	539	93,135436	6,86456401	42,8286853
T	49	p	ripe	1	251	200	451	55,654102	44,345898	34,6613546
T	49	up	ripe	1	509	62	571	89,1418564	10,8581436	48,1335953
T	50	p	ripe	1	600	53	653	91,8836141	8,11638591	33,3333333
T	50	up	unripe	1	552	134	686	80,4664723	19,5335277	23,5507246
T	52	p	unripe	1	515	80	595	86,5546219	13,4453782	31,6504854
T	52	up	unripe	2	528,5	23,5	552	95,8307396	4,16926041	36,7593988
T	54	p	ripe	2	47,5	75	122,5	41,9531112	58,0468888	25
T	54	up	ripe	1	487	27	514	94,7470817	5,25291829	45,9958932
T	57	p	ripe	1	387	20	407	95,0859951	4,91400491	44,9612403
T	57	up	unripe	1	514	38	552	93,115942	6,88405797	42,0233463
T	63	p	ripe	1	446	50	496	89,9193548	10,0806452	43,7219731
T	63	up	ripe	1	588	63	651	90,3225807	9,67741936	43,3673469
T	66	p	ripe	1	0	124	124	0	100	
T	66	up	unripe	1	620	60	680	91,1764706	8,82352941	51,7741936
T	72	p	ripe	1	74	112	186	39,7849462	60,2150538	40,5405405
T	72	up	unripe	1	741	43	784	94,5153061	5,48469388	39,2712551
T	79	p	ripe	1	83	48	131	63,3587786	36,6412214	39,7590361
T	79	up	ripe	1	673	79	752	89,4946809	10,5053192	44,4279346
T	81	p	ripe	2	0	165	165	0	100	
T	81	up	unripe	1	639	30	669	95,5156951	4,48430493	43,0359937
T	83	p	ripe	1	266	77	343	77,5510204	22,4489796	24,8120301
T	83	up	ripe	1	649	52	701	92,5820257	7,41797432	52,6964561
T	95	p	ripe	1	404	476	880	45,9090909	54,0909091	49,2574257
T	95	up	ripe	1	433	49	482	89,8340249	10,1659751	42,0323326
T	97	p	ripe	1	71	339	410	17,3170732	82,6829268	47,8873239
T	97	up	ripe	1	75	480	555	13,5135135	86,4864865	76
T	99	p	ripe	1	82	99	181	45,3038674	54,6961326	43,902439
T	99	up	ripe	2	484	55	539	89,8666989	10,1333011	42,4698937
